"Datum";"Produktion kWh"
"2026-05-07 01:00 (CEST)";"0,000"
"2026-05-07 01:15 (CEST)";"0,000"
"2026-05-07 01:30 (CEST)";"0,000"
"2026-05-07 01:45 (CEST)";"0,000"
"2026-05-07 02:00 (CEST)";"0,000"
"2026-05-07 02:15 (CEST)";"0,000"
"2026-05-07 02:30 (CEST)";"0,000"
"2026-05-07 02:45 (CEST)";"0,000"
"2026-05-07 03:00 (CEST)";"0,000"
"2026-05-07 03:15 (CEST)";"0,000"
"2026-05-07 03:30 (CEST)";"0,000"
"2026-05-07 03:45 (CEST)";"0,000"
"2026-05-07 04:00 (CEST)";"0,000"
"2026-05-07 04:15 (CEST)";"0,000"
"2026-05-07 04:30 (CEST)";"0,000"
"2026-05-07 04:45 (CEST)";"0,000"
"2026-05-07 05:00 (CEST)";"0,011"
"2026-05-07 05:15 (CEST)";"0,099"
"2026-05-07 05:30 (CEST)";"0,249"
"2026-05-07 05:45 (CEST)";"0,462"
"2026-05-07 06:00 (CEST)";"0,756"
"2026-05-07 06:15 (CEST)";"1,471"
"2026-05-07 06:30 (CEST)";"1,859"
"2026-05-07 06:45 (CEST)";"1,880"
"2026-05-07 07:00 (CEST)";"2,149"
"2026-05-07 07:15 (CEST)";"2,569"
"2026-05-07 07:30 (CEST)";"3,702"
"2026-05-07 07:45 (CEST)";"4,306"
"2026-05-07 08:00 (CEST)";"4,287"
"2026-05-07 08:15 (CEST)";"4,302"
"2026-05-07 08:30 (CEST)";"4,304"
"2026-05-07 08:45 (CEST)";"4,302"
"2026-05-07 09:00 (CEST)";"4,301"
"2026-05-07 09:15 (CEST)";"4,304"
"2026-05-07 09:30 (CEST)";"4,303"
"2026-05-07 09:45 (CEST)";"4,306"
"2026-05-07 10:00 (CEST)";"4,307"
"2026-05-07 10:15 (CEST)";"4,308"
"2026-05-07 10:30 (CEST)";"4,307"
"2026-05-07 10:45 (CEST)";"4,310"
"2026-05-07 11:00 (CEST)";"4,314"
"2026-05-07 11:15 (CEST)";"4,311"
"2026-05-07 11:30 (CEST)";"4,312"
"2026-05-07 11:45 (CEST)";"4,310"
"2026-05-07 12:00 (CEST)";"4,310"
"2026-05-07 12:15 (CEST)";"3,635"
"2026-05-07 12:30 (CEST)";"4,257"
"2026-05-07 12:45 (CEST)";"3,603"
"2026-05-07 13:00 (CEST)";"3,558"
"2026-05-07 13:15 (CEST)";"3,811"
"2026-05-07 13:30 (CEST)";"3,688"
"2026-05-07 13:45 (CEST)";"4,046"
"2026-05-07 14:00 (CEST)";"3,478"
"2026-05-07 14:15 (CEST)";"3,492"
"2026-05-07 14:30 (CEST)";"3,585"
"2026-05-07 14:45 (CEST)";"2,629"
"2026-05-07 15:00 (CEST)";"3,395"
"2026-05-07 15:15 (CEST)";"4,309"
"2026-05-07 15:30 (CEST)";"4,306"
"2026-05-07 15:45 (CEST)";"4,303"
"2026-05-07 16:00 (CEST)";"4,303"
"2026-05-07 16:15 (CEST)";"4,304"
"2026-05-07 16:30 (CEST)";"4,302"
"2026-05-07 16:45 (CEST)";"4,301"
"2026-05-07 17:00 (CEST)";"4,301"
"2026-05-07 17:15 (CEST)";"4,304"
"2026-05-07 17:30 (CEST)";"4,300"
"2026-05-07 17:45 (CEST)";"4,300"
"2026-05-07 18:00 (CEST)";"4,302"
"2026-05-07 18:15 (CEST)";"4,303"
"2026-05-07 18:30 (CEST)";"4,302"
"2026-05-07 18:45 (CEST)";"4,299"
"2026-05-07 19:00 (CEST)";"4,039"
"2026-05-07 19:15 (CEST)";"3,285"
"2026-05-07 19:30 (CEST)";"2,052"
"2026-05-07 19:45 (CEST)";"1,720"
"2026-05-07 20:00 (CEST)";"0,571"
"2026-05-07 20:15 (CEST)";"0,212"
"2026-05-07 20:30 (CEST)";"0,099"
"2026-05-07 20:45 (CEST)";"0,014"
"2026-05-07 21:00 (CEST)";"0,000"
"2026-05-07 21:15 (CEST)";"0,000"
"2026-05-07 21:30 (CEST)";"0,000"
"2026-05-07 21:45 (CEST)";"0,000"
"2026-05-07 22:00 (CEST)";"0,000"
"2026-05-07 22:15 (CEST)";"0,000"
"2026-05-07 22:30 (CEST)";"0,000"
"2026-05-07 22:45 (CEST)";"0,000"
"2026-05-07 23:00 (CEST)";"0,000"
"2026-05-07 23:15 (CEST)";"0,000"
"2026-05-07 23:30 (CEST)";"0,000"
"2026-05-07 23:45 (CEST)";"0,000"
"2026-05-08 00:00 (CEST)";"0,000"
"2026-05-08 00:15 (CEST)";"0,000"
"2026-05-08 00:30 (CEST)";"0,000"
"2026-05-08 00:45 (CEST)";"0,000"
"2026-05-08 01:00 (CEST)";"0,000"
"2026-05-08 01:15 (CEST)";"0,000"
"2026-05-08 01:30 (CEST)";"0,000"
"2026-05-08 01:45 (CEST)";"0,000"
"2026-05-08 02:00 (CEST)";"0,000"
"2026-05-08 02:15 (CEST)";"0,000"
"2026-05-08 02:30 (CEST)";"0,000"
"2026-05-08 02:45 (CEST)";"0,000"
"2026-05-08 03:00 (CEST)";"0,000"
"2026-05-08 03:15 (CEST)";"0,000"
"2026-05-08 03:30 (CEST)";"0,000"
"2026-05-08 03:45 (CEST)";"0,000"
"2026-05-08 04:00 (CEST)";"0,000"
"2026-05-08 04:15 (CEST)";"0,000"
"2026-05-08 04:30 (CEST)";"0,000"
"2026-05-08 04:45 (CEST)";"0,001"
"2026-05-08 05:00 (CEST)";"0,047"
"2026-05-08 05:15 (CEST)";"0,145"
"2026-05-08 05:30 (CEST)";"0,261"
"2026-05-08 05:45 (CEST)";"0,374"
"2026-05-08 06:00 (CEST)";"0,625"
"2026-05-08 06:15 (CEST)";"1,454"
"2026-05-08 06:30 (CEST)";"1,876"
"2026-05-08 06:45 (CEST)";"2,153"
"2026-05-08 07:00 (CEST)";"2,275"
"2026-05-08 07:15 (CEST)";"2,815"
"2026-05-08 07:30 (CEST)";"4,034"
"2026-05-08 07:45 (CEST)";"4,301"
"2026-05-08 08:00 (CEST)";"4,300"
"2026-05-08 08:15 (CEST)";"4,302"
"2026-05-08 08:30 (CEST)";"4,303"
"2026-05-08 08:45 (CEST)";"4,303"
"2026-05-08 09:00 (CEST)";"4,306"
"2026-05-08 09:15 (CEST)";"4,301"
"2026-05-08 09:30 (CEST)";"4,307"
"2026-05-08 09:45 (CEST)";"4,305"
"2026-05-08 10:00 (CEST)";"4,305"
"2026-05-08 10:15 (CEST)";"4,306"
"2026-05-08 10:30 (CEST)";"4,306"
"2026-05-08 10:45 (CEST)";"4,304"
"2026-05-08 11:00 (CEST)";"4,306"
"2026-05-08 11:15 (CEST)";"4,306"
"2026-05-08 11:30 (CEST)";"4,306"
"2026-05-08 11:45 (CEST)";"4,310"
"2026-05-08 12:00 (CEST)";"4,313"
"2026-05-08 12:15 (CEST)";"4,309"
"2026-05-08 12:30 (CEST)";"4,310"
"2026-05-08 12:45 (CEST)";"4,309"
"2026-05-08 13:00 (CEST)";"4,311"
"2026-05-08 13:15 (CEST)";"4,310"
"2026-05-08 13:30 (CEST)";"4,311"
"2026-05-08 13:45 (CEST)";"4,310"
"2026-05-08 14:00 (CEST)";"4,310"
"2026-05-08 14:15 (CEST)";"4,304"
"2026-05-08 14:30 (CEST)";"4,307"
"2026-05-08 14:45 (CEST)";"4,306"
"2026-05-08 15:00 (CEST)";"4,306"
"2026-05-08 15:15 (CEST)";"4,304"
"2026-05-08 15:30 (CEST)";"4,305"
"2026-05-08 15:45 (CEST)";"4,305"
"2026-05-08 16:00 (CEST)";"4,305"
"2026-05-08 16:15 (CEST)";"4,305"
"2026-05-08 16:30 (CEST)";"4,305"
"2026-05-08 16:45 (CEST)";"4,306"
"2026-05-08 17:00 (CEST)";"4,303"
"2026-05-08 17:15 (CEST)";"4,304"
"2026-05-08 17:30 (CEST)";"4,303"
"2026-05-08 17:45 (CEST)";"4,302"
"2026-05-08 18:00 (CEST)";"4,302"
"2026-05-08 18:15 (CEST)";"4,302"
"2026-05-08 18:30 (CEST)";"4,301"
"2026-05-08 18:45 (CEST)";"4,301"
"2026-05-08 19:00 (CEST)";"4,284"
"2026-05-08 19:15 (CEST)";"3,627"
"2026-05-08 19:30 (CEST)";"2,155"
"2026-05-08 19:45 (CEST)";"1,663"
"2026-05-08 20:00 (CEST)";"0,355"
"2026-05-08 20:15 (CEST)";"0,212"
"2026-05-08 20:30 (CEST)";"0,096"
"2026-05-08 20:45 (CEST)";"0,009"
"2026-05-08 21:00 (CEST)";"0,000"
"2026-05-08 21:15 (CEST)";"0,000"
"2026-05-08 21:30 (CEST)";"0,000"
"2026-05-08 21:45 (CEST)";"0,000"
"2026-05-08 22:00 (CEST)";"0,000"
"2026-05-08 22:15 (CEST)";"0,000"
"2026-05-08 22:30 (CEST)";"0,000"
"2026-05-08 22:45 (CEST)";"0,000"
"2026-05-08 23:00 (CEST)";"0,000"
"2026-05-08 23:15 (CEST)";"0,000"
"2026-05-08 23:30 (CEST)";"0,000"
"2026-05-08 23:45 (CEST)";"0,000"
"2026-05-09 00:00 (CEST)";"0,000"
"2026-05-09 00:15 (CEST)";"0,000"
"2026-05-09 00:30 (CEST)";"0,000"
"2026-05-09 00:45 (CEST)";"0,000"
"2026-05-09 01:00 (CEST)";"0,000"
"2026-05-09 01:15 (CEST)";"0,000"
"2026-05-09 01:30 (CEST)";"0,000"
"2026-05-09 01:45 (CEST)";"0,000"
"2026-05-09 02:00 (CEST)";"0,000"
"2026-05-09 02:15 (CEST)";"0,000"
"2026-05-09 02:30 (CEST)";"0,000"
"2026-05-09 02:45 (CEST)";"0,000"
"2026-05-09 03:00 (CEST)";"0,000"
"2026-05-09 03:15 (CEST)";"0,000"
"2026-05-09 03:30 (CEST)";"0,000"
"2026-05-09 03:45 (CEST)";"0,000"
"2026-05-09 04:00 (CEST)";"0,000"
"2026-05-09 04:15 (CEST)";"0,000"
"2026-05-09 04:30 (CEST)";"0,000"
"2026-05-09 04:45 (CEST)";"0,000"
"2026-05-09 05:00 (CEST)";"0,037"
"2026-05-09 05:15 (CEST)";"0,223"
"2026-05-09 05:30 (CEST)";"0,391"
"2026-05-09 05:45 (CEST)";"0,632"
"2026-05-09 06:00 (CEST)";"0,826"
"2026-05-09 06:15 (CEST)";"1,522"
"2026-05-09 06:30 (CEST)";"1,965"
"2026-05-09 06:45 (CEST)";"2,291"
"2026-05-09 07:00 (CEST)";"2,494"
"2026-05-09 07:15 (CEST)";"2,944"
"2026-05-09 07:30 (CEST)";"4,133"
"2026-05-09 07:45 (CEST)";"4,304"
"2026-05-09 08:00 (CEST)";"4,303"
"2026-05-09 08:15 (CEST)";"4,304"
"2026-05-09 08:30 (CEST)";"4,299"
"2026-05-09 08:45 (CEST)";"4,302"
"2026-05-09 09:00 (CEST)";"4,306"
"2026-05-09 09:15 (CEST)";"4,307"
"2026-05-09 09:30 (CEST)";"4,306"
"2026-05-09 09:45 (CEST)";"4,305"
"2026-05-09 10:00 (CEST)";"4,309"
"2026-05-09 10:15 (CEST)";"4,310"
"2026-05-09 10:30 (CEST)";"4,309"
"2026-05-09 10:45 (CEST)";"4,310"
"2026-05-09 11:00 (CEST)";"4,311"
"2026-05-09 11:15 (CEST)";"4,308"
"2026-05-09 11:30 (CEST)";"4,308"
"2026-05-09 11:45 (CEST)";"4,308"
"2026-05-09 12:00 (CEST)";"4,309"
"2026-05-09 12:15 (CEST)";"4,309"
"2026-05-09 12:30 (CEST)";"4,307"
"2026-05-09 12:45 (CEST)";"4,308"
"2026-05-09 13:00 (CEST)";"4,310"
"2026-05-09 13:15 (CEST)";"4,311"
"2026-05-09 13:30 (CEST)";"4,314"
"2026-05-09 13:45 (CEST)";"4,311"
"2026-05-09 14:00 (CEST)";"4,307"
"2026-05-09 14:15 (CEST)";"4,307"
"2026-05-09 14:30 (CEST)";"4,305"
"2026-05-09 14:45 (CEST)";"4,305"
"2026-05-09 15:00 (CEST)";"4,307"
"2026-05-09 15:15 (CEST)";"4,306"
"2026-05-09 15:30 (CEST)";"4,303"
"2026-05-09 15:45 (CEST)";"4,301"
"2026-05-09 16:00 (CEST)";"4,081"
"2026-05-09 16:15 (CEST)";"4,293"
"2026-05-09 16:30 (CEST)";"4,303"
"2026-05-09 16:45 (CEST)";"4,306"
"2026-05-09 17:00 (CEST)";"4,302"
"2026-05-09 17:15 (CEST)";"4,301"
"2026-05-09 17:30 (CEST)";"4,300"
"2026-05-09 17:45 (CEST)";"4,293"
"2026-05-09 18:00 (CEST)";"4,298"
"2026-05-09 18:15 (CEST)";"4,301"
"2026-05-09 18:30 (CEST)";"4,286"
"2026-05-09 18:45 (CEST)";"4,220"
"2026-05-09 19:00 (CEST)";"4,180"
"2026-05-09 19:15 (CEST)";"3,558"
"2026-05-09 19:30 (CEST)";"2,170"
"2026-05-09 19:45 (CEST)";"1,492"
"2026-05-09 20:00 (CEST)";"0,882"
"2026-05-09 20:15 (CEST)";"0,382"
"2026-05-09 20:30 (CEST)";"0,186"
"2026-05-09 20:45 (CEST)";"0,046"
"2026-05-09 21:00 (CEST)";"0,001"
"2026-05-09 21:15 (CEST)";"0,000"
"2026-05-09 21:30 (CEST)";"0,000"
"2026-05-09 21:45 (CEST)";"0,000"
"2026-05-09 22:00 (CEST)";"0,000"
"2026-05-09 22:15 (CEST)";"0,000"
"2026-05-09 22:30 (CEST)";"0,000"
"2026-05-09 22:45 (CEST)";"0,000"
"2026-05-09 23:00 (CEST)";"0,000"
"2026-05-09 23:15 (CEST)";"0,000"
"2026-05-09 23:30 (CEST)";"0,000"
"2026-05-09 23:45 (CEST)";"0,000"
"2026-05-10 00:00 (CEST)";"0,000"
"2026-05-10 00:15 (CEST)";"0,000"
"2026-05-10 00:30 (CEST)";"0,000"
"2026-05-10 00:45 (CEST)";"0,000"
"2026-05-10 01:00 (CEST)";"0,000"
"2026-05-10 01:15 (CEST)";"0,000"
"2026-05-10 01:30 (CEST)";"0,000"
"2026-05-10 01:45 (CEST)";"0,000"
"2026-05-10 02:00 (CEST)";"0,000"
"2026-05-10 02:15 (CEST)";"0,000"
"2026-05-10 02:30 (CEST)";"0,000"
"2026-05-10 02:45 (CEST)";"0,000"
"2026-05-10 03:00 (CEST)";"0,000"
"2026-05-10 03:15 (CEST)";"0,000"
"2026-05-10 03:30 (CEST)";"0,000"
"2026-05-10 03:45 (CEST)";"0,000"
"2026-05-10 04:00 (CEST)";"0,000"
"2026-05-10 04:15 (CEST)";"0,000"
"2026-05-10 04:30 (CEST)";"0,000"
"2026-05-10 04:45 (CEST)";"0,002"
"2026-05-10 05:00 (CEST)";"0,088"
"2026-05-10 05:15 (CEST)";"0,178"
"2026-05-10 05:30 (CEST)";"0,289"
"2026-05-10 05:45 (CEST)";"0,415"
"2026-05-10 06:00 (CEST)";"0,659"
"2026-05-10 06:15 (CEST)";"1,467"
"2026-05-10 06:30 (CEST)";"1,993"
"2026-05-10 06:45 (CEST)";"2,242"
"2026-05-10 07:00 (CEST)";"2,266"
"2026-05-10 07:15 (CEST)";"2,408"
"2026-05-10 07:30 (CEST)";"2,615"
"2026-05-10 07:45 (CEST)";"3,528"
"2026-05-10 08:00 (CEST)";"3,738"
"2026-05-10 08:15 (CEST)";"4,178"
"2026-05-10 08:30 (CEST)";"4,085"
"2026-05-10 08:45 (CEST)";"3,475"
"2026-05-10 09:00 (CEST)";"3,430"
"2026-05-10 09:15 (CEST)";"3,137"
"2026-05-10 09:30 (CEST)";"3,659"
"2026-05-10 09:45 (CEST)";"3,557"
"2026-05-10 10:00 (CEST)";"2,752"
"2026-05-10 10:15 (CEST)";"2,364"
"2026-05-10 10:30 (CEST)";"2,306"
"2026-05-10 10:45 (CEST)";"2,072"
"2026-05-10 11:00 (CEST)";"2,068"
"2026-05-10 11:15 (CEST)";"2,434"
"2026-05-10 11:30 (CEST)";"2,220"
"2026-05-10 11:45 (CEST)";"2,296"
"2026-05-10 12:00 (CEST)";"1,995"
"2026-05-10 12:15 (CEST)";"1,640"
"2026-05-10 12:30 (CEST)";"1,639"
"2026-05-10 12:45 (CEST)";"1,578"
"2026-05-10 13:00 (CEST)";"2,864"
"2026-05-10 13:15 (CEST)";"1,693"
"2026-05-10 13:30 (CEST)";"1,201"
"2026-05-10 13:45 (CEST)";"1,570"
"2026-05-10 14:00 (CEST)";"1,887"
"2026-05-10 14:15 (CEST)";"1,216"
"2026-05-10 14:30 (CEST)";"0,889"
"2026-05-10 14:45 (CEST)";"0,765"
"2026-05-10 15:00 (CEST)";"1,023"
"2026-05-10 15:15 (CEST)";"1,366"
"2026-05-10 15:30 (CEST)";"2,717"
"2026-05-10 15:45 (CEST)";"2,553"
"2026-05-10 16:00 (CEST)";"2,994"
"2026-05-10 16:15 (CEST)";"4,168"
"2026-05-10 16:30 (CEST)";"2,557"
"2026-05-10 16:45 (CEST)";"2,057"
"2026-05-10 17:00 (CEST)";"1,456"
"2026-05-10 17:15 (CEST)";"1,337"
"2026-05-10 17:30 (CEST)";"0,818"
"2026-05-10 17:45 (CEST)";"0,880"
"2026-05-10 18:00 (CEST)";"1,601"
"2026-05-10 18:15 (CEST)";"2,803"
"2026-05-10 18:30 (CEST)";"3,464"
"2026-05-10 18:45 (CEST)";"2,971"
"2026-05-10 19:00 (CEST)";"2,409"
"2026-05-10 19:15 (CEST)";"0,834"
"2026-05-10 19:30 (CEST)";"0,800"
"2026-05-10 19:45 (CEST)";"0,421"
"2026-05-10 20:00 (CEST)";"0,271"
"2026-05-10 20:15 (CEST)";"0,109"
"2026-05-10 20:30 (CEST)";"0,026"
"2026-05-10 20:45 (CEST)";"0,000"
"2026-05-10 21:00 (CEST)";"0,000"
"2026-05-10 21:15 (CEST)";"0,000"
"2026-05-10 21:30 (CEST)";"0,000"
"2026-05-10 21:45 (CEST)";"0,000"
"2026-05-10 22:00 (CEST)";"0,000"
"2026-05-10 22:15 (CEST)";"0,000"
"2026-05-10 22:30 (CEST)";"0,000"
"2026-05-10 22:45 (CEST)";"0,000"
"2026-05-10 23:00 (CEST)";"0,000"
"2026-05-10 23:15 (CEST)";"0,000"
"2026-05-10 23:30 (CEST)";"0,000"
"2026-05-10 23:45 (CEST)";"0,000"
"2026-05-11 00:00 (CEST)";"0,000"
"2026-05-11 00:15 (CEST)";"0,000"
"2026-05-11 00:30 (CEST)";"0,000"
"2026-05-11 00:45 (CEST)";"0,000"
"2026-05-11 01:00 (CEST)";"0,000"
"2026-05-11 01:15 (CEST)";"0,000"
"2026-05-11 01:30 (CEST)";"0,000"
"2026-05-11 01:45 (CEST)";"0,000"
"2026-05-11 02:00 (CEST)";"0,000"
"2026-05-11 02:15 (CEST)";"0,000"
"2026-05-11 02:30 (CEST)";"0,000"
"2026-05-11 02:45 (CEST)";"0,000"
"2026-05-11 03:00 (CEST)";"0,000"
"2026-05-11 03:15 (CEST)";"0,000"
"2026-05-11 03:30 (CEST)";"0,000"
"2026-05-11 03:45 (CEST)";"0,000"
"2026-05-11 04:00 (CEST)";"0,000"
"2026-05-11 04:15 (CEST)";"0,000"
"2026-05-11 04:30 (CEST)";"0,000"
"2026-05-11 04:45 (CEST)";"0,000"
"2026-05-11 05:00 (CEST)";"0,026"
"2026-05-11 05:15 (CEST)";"0,169"
"2026-05-11 05:30 (CEST)";"0,284"
"2026-05-11 05:45 (CEST)";"0,401"
"2026-05-11 06:00 (CEST)";"0,778"
"2026-05-11 06:15 (CEST)";"0,852"
"2026-05-11 06:30 (CEST)";"1,047"
"2026-05-11 06:45 (CEST)";"1,207"
"2026-05-11 07:00 (CEST)";"0,964"
"2026-05-11 07:15 (CEST)";"1,233"
"2026-05-11 07:30 (CEST)";"1,258"
"2026-05-11 07:45 (CEST)";"1,792"
"2026-05-11 08:00 (CEST)";"2,005"
"2026-05-11 08:15 (CEST)";"1,685"
"2026-05-11 08:30 (CEST)";"1,172"
"2026-05-11 08:45 (CEST)";"0,863"
"2026-05-11 09:00 (CEST)";"1,256"
"2026-05-11 09:15 (CEST)";"1,756"
"2026-05-11 09:30 (CEST)";"2,705"
"2026-05-11 09:45 (CEST)";"2,938"
"2026-05-11 10:00 (CEST)";"3,391"
"2026-05-11 10:15 (CEST)";"2,751"
"2026-05-11 10:30 (CEST)";"1,864"
"2026-05-11 10:45 (CEST)";"1,596"
"2026-05-11 11:00 (CEST)";"0,958"
"2026-05-11 11:15 (CEST)";"0,936"
"2026-05-11 11:30 (CEST)";"1,154"
"2026-05-11 11:45 (CEST)";"1,357"
"2026-05-11 12:00 (CEST)";"2,166"
"2026-05-11 12:15 (CEST)";"2,823"
"2026-05-11 12:30 (CEST)";"2,635"
"2026-05-11 12:45 (CEST)";"1,890"
"2026-05-11 13:00 (CEST)";"1,380"
"2026-05-11 13:15 (CEST)";"1,504"
"2026-05-11 13:30 (CEST)";"1,811"
"2026-05-11 13:45 (CEST)";"2,307"
"2026-05-11 14:00 (CEST)";"2,567"
"2026-05-11 14:15 (CEST)";"1,633"
"2026-05-11 14:30 (CEST)";"1,694"
"2026-05-11 14:45 (CEST)";"2,064"
"2026-05-11 15:00 (CEST)";"2,009"
"2026-05-11 15:15 (CEST)";"1,487"
"2026-05-11 15:30 (CEST)";"0,943"
"2026-05-11 15:45 (CEST)";"1,141"
"2026-05-11 16:00 (CEST)";"0,939"
"2026-05-11 16:15 (CEST)";"0,673"
"2026-05-11 16:30 (CEST)";"0,567"
"2026-05-11 16:45 (CEST)";"0,603"
"2026-05-11 17:00 (CEST)";"0,644"
"2026-05-11 17:15 (CEST)";"0,744"
"2026-05-11 17:30 (CEST)";"0,841"
"2026-05-11 17:45 (CEST)";"0,827"
"2026-05-11 18:00 (CEST)";"0,475"
"2026-05-11 18:15 (CEST)";"0,182"
"2026-05-11 18:30 (CEST)";"0,115"
"2026-05-11 18:45 (CEST)";"0,098"
"2026-05-11 19:00 (CEST)";"0,089"
"2026-05-11 19:15 (CEST)";"0,137"
"2026-05-11 19:30 (CEST)";"0,066"
"2026-05-11 19:45 (CEST)";"0,000"
"2026-05-11 20:00 (CEST)";"0,000"
"2026-05-11 20:15 (CEST)";"0,000"
"2026-05-11 20:30 (CEST)";"0,000"
"2026-05-11 20:45 (CEST)";"0,000"
"2026-05-11 21:00 (CEST)";"0,000"
"2026-05-11 21:15 (CEST)";"0,000"
"2026-05-11 21:30 (CEST)";"0,000"
"2026-05-11 21:45 (CEST)";"0,000"
"2026-05-11 22:00 (CEST)";"0,000"
"2026-05-11 22:15 (CEST)";"0,000"
"2026-05-11 22:30 (CEST)";"0,000"
"2026-05-11 22:45 (CEST)";"0,000"
"2026-05-11 23:00 (CEST)";"0,000"
"2026-05-11 23:15 (CEST)";"0,000"
"2026-05-11 23:30 (CEST)";"0,000"
"2026-05-11 23:45 (CEST)";"0,000"
"2026-05-12 00:00 (CEST)";"0,000"
"2026-05-12 00:15 (CEST)";"0,000"
"2026-05-12 00:30 (CEST)";"0,000"
"2026-05-12 00:45 (CEST)";"0,000"
"2026-05-12 01:00 (CEST)";"0,000"
"2026-05-12 01:15 (CEST)";"0,000"
"2026-05-12 01:30 (CEST)";"0,000"
"2026-05-12 01:45 (CEST)";"0,000"
"2026-05-12 02:00 (CEST)";"0,000"
"2026-05-12 02:15 (CEST)";"0,000"
"2026-05-12 02:30 (CEST)";"0,000"
"2026-05-12 02:45 (CEST)";"0,000"
"2026-05-12 03:00 (CEST)";"0,000"
"2026-05-12 03:15 (CEST)";"0,000"
"2026-05-12 03:30 (CEST)";"0,000"
"2026-05-12 03:45 (CEST)";"0,000"
"2026-05-12 04:00 (CEST)";"0,000"
"2026-05-12 04:15 (CEST)";"0,000"
"2026-05-12 04:30 (CEST)";"0,000"
"2026-05-12 04:45 (CEST)";"0,000"
"2026-05-12 05:00 (CEST)";"0,000"
"2026-05-12 05:15 (CEST)";"0,000"
"2026-05-12 05:30 (CEST)";"0,001"
"2026-05-12 05:45 (CEST)";"0,000"
"2026-05-12 06:00 (CEST)";"0,004"
"2026-05-12 06:15 (CEST)";"0,058"
"2026-05-12 06:30 (CEST)";"0,198"
"2026-05-12 06:45 (CEST)";"0,361"
"2026-05-12 07:00 (CEST)";"0,399"
"2026-05-12 07:15 (CEST)";"0,445"
"2026-05-12 07:30 (CEST)";"0,438"
"2026-05-12 07:45 (CEST)";"0,606"
"2026-05-12 08:00 (CEST)";"0,902"
"2026-05-12 08:15 (CEST)";"1,055"
"2026-05-12 08:30 (CEST)";"0,837"
"2026-05-12 08:45 (CEST)";"0,947"
"2026-05-12 09:00 (CEST)";"1,047"
"2026-05-12 09:15 (CEST)";"1,052"
"2026-05-12 09:30 (CEST)";"1,094"
"2026-05-12 09:45 (CEST)";"1,233"
"2026-05-12 10:00 (CEST)";"1,136"
"2026-05-12 10:15 (CEST)";"1,366"
"2026-05-12 10:30 (CEST)";"0,994"
"2026-05-12 10:45 (CEST)";"0,970"
"2026-05-12 11:00 (CEST)";"1,274"
"2026-05-12 11:15 (CEST)";"1,220"
"2026-05-12 11:30 (CEST)";"1,434"
"2026-05-12 11:45 (CEST)";"1,158"
"2026-05-12 12:00 (CEST)";"1,407"
"2026-05-12 12:15 (CEST)";"1,328"
"2026-05-12 12:30 (CEST)";"1,260"
"2026-05-12 12:45 (CEST)";"1,700"
"2026-05-12 13:00 (CEST)";"1,566"
"2026-05-12 13:15 (CEST)";"1,437"
"2026-05-12 13:30 (CEST)";"1,682"
"2026-05-12 13:45 (CEST)";"2,027"
"2026-05-12 14:00 (CEST)";"1,800"
"2026-05-12 14:15 (CEST)";"1,183"
"2026-05-12 14:30 (CEST)";"1,180"
"2026-05-12 14:45 (CEST)";"1,278"
"2026-05-12 15:00 (CEST)";"1,222"
"2026-05-12 15:15 (CEST)";"0,965"
"2026-05-12 15:30 (CEST)";"0,898"
"2026-05-12 15:45 (CEST)";"0,864"
"2026-05-12 16:00 (CEST)";"0,829"
"2026-05-12 16:15 (CEST)";"0,985"
"2026-05-12 16:30 (CEST)";"0,564"
"2026-05-12 16:45 (CEST)";"0,383"
"2026-05-12 17:00 (CEST)";"0,292"
"2026-05-12 17:15 (CEST)";"0,386"
"2026-05-12 17:30 (CEST)";"0,226"
"2026-05-12 17:45 (CEST)";"0,228"
"2026-05-12 18:00 (CEST)";"0,202"
"2026-05-12 18:15 (CEST)";"0,223"
"2026-05-12 18:30 (CEST)";"0,177"
"2026-05-12 18:45 (CEST)";"0,391"
"2026-05-12 19:00 (CEST)";"0,183"
"2026-05-12 19:15 (CEST)";"0,107"
"2026-05-12 19:30 (CEST)";"0,093"
"2026-05-12 19:45 (CEST)";"0,125"
"2026-05-12 20:00 (CEST)";"0,051"
"2026-05-12 20:15 (CEST)";"0,013"
"2026-05-12 20:30 (CEST)";"0,000"
"2026-05-12 20:45 (CEST)";"0,000"
"2026-05-12 21:00 (CEST)";"0,000"
"2026-05-12 21:15 (CEST)";"0,000"
"2026-05-12 21:30 (CEST)";"0,000"
"2026-05-12 21:45 (CEST)";"0,000"
"2026-05-12 22:00 (CEST)";"0,000"
"2026-05-12 22:15 (CEST)";"0,000"
"2026-05-12 22:30 (CEST)";"0,000"
"2026-05-12 22:45 (CEST)";"0,000"
"2026-05-12 23:00 (CEST)";"0,000"
"2026-05-12 23:15 (CEST)";"0,000"
"2026-05-12 23:30 (CEST)";"0,000"
"2026-05-12 23:45 (CEST)";"0,000"
"2026-05-13 00:00 (CEST)";"0,000"
"2026-05-13 00:15 (CEST)";"0,000"
"2026-05-13 00:30 (CEST)";"0,000"
"2026-05-13 00:45 (CEST)";"0,000"
"2026-05-13 01:00 (CEST)";"0,000"
"2026-05-13 01:15 (CEST)";"0,000"
"2026-05-13 01:30 (CEST)";"0,000"
"2026-05-13 01:45 (CEST)";"0,000"
"2026-05-13 02:00 (CEST)";"0,000"
"2026-05-13 02:15 (CEST)";"0,000"
